"SORTCODE","BANKNAME","BRANCHNAME"
"340104","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -TEMA COMM 1 BRANCH"
"340105","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA - MANET TOWER 3 BRANCH"
"340106","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -MAKOLA BRANCH"
"340107","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA - ARENA BRANCH"
"340108","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -KOKOMLEMLE BRANCH"
"340109","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ACHIMOTA BRANCH"
"340110","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ADABRAKAH BRANCH"
"340111","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ADENTA BRANCH"
"340112","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -SPINTEX BRANCH"
"340113","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -AMERICAN HOUSE BRANCH"
"340114","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ANYAA MARKET BRANCH"
"340115","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -APENKWA BRANCH"
"340116","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ASHAIMAN ROUND ABOUT BRANCH"
"340117","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ASHAIMAN MAIN BRANCH"
"340118","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ASHALLEY BOTWE BRANCH"
"340119","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ASHIYEA BRANCH"
"340120","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ATOMIC JUNCTION BRANCH"
"340121","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ATOMIC BRANCH"
"340122","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -DANSOMAN ROUND-ABOUT BRANCH"
"340123","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -DANSOMAN EXHIBITION BRANCH"
"340124","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -RUSSIA ROAD BRANCH"
"340125","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -DARKUMAN BRANCH"
"340126","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -DOME BRANCH"
"340127","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -DZORWULU BRANCH"
"340128","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -EAST LEGON BRANCH"
"340129","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -GIMPA BRANCH"
"340130","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -KANESHIR BRANCH"
"340131","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -KASOA MAIN BRANCH"
"340132","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA - KASOA NEW MARKET"
"340133","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -KORLE- BU BRANCH"
"340134","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -KORLE DUDOR BRANCH"
"340135","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -KWABENYA BRANCH"
"340136","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -LABONE BRANCH"
"340137","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -LAPAZ BRANCH"
"340138","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -MADINA MAIN BRANCH"
"340139","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -MADINA NEW ROAD BRANCH"
"340140","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -MALLAM JUNCTION BRANCH"
"340141","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -PIG FARM BRANCH"
"340142","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -MAMOBI BRANCH"
"340143","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -NIMA MAIN BRANCH"
"340144","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -MERIDIAN BRANCH"
"340145","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -NORTH INDUSTRIAL AREA BRANCH"
"340146","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -CASTLE ROAD BRANCH"
"340147","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -OXFORD STREET BRANCH"
"340148","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -POKUASE BRANCH"
"340149","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ABBOSSEY-OKAI BRANCH"
"340150","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA - SHIPPERS HOUSE BRANCH"
"340151","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -SAKUMONO BRANCH"
"340152","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -SOUTH LEGON BRANCH"
"340153","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -EAST AIRPORT BRANCH"
"340154","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -BAATSONA BRANCH"
"340155","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -OPERA SQUARE BRANCH"
"340156","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -TEMA COMM 2 BRANCH"
"340157","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -TEMA COMM 25 BRANCH"
"340158","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -TESANO BRANCH"
"340159","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -TESHIE BRANCH"
"340160","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -TRADE FAIR BRANCH"
"340161","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ABEKA BRANCH"
"340162","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -UNIVERSITY OF GHANA BRANCH"
"340163","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -WEIJA BRANCH"
"340164","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -WISCONSIN BRANCH"
"340165","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ZENU BRANCH"
"340166","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ACCRA BRANCH"
"340191","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -GOLDENLINK SAVINGS AND LOANS"
"340197","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -PROGRESS SAVINGS AND LOANS"
"340198","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -BEST POINT SAVINGS AND LOANS"
"340201","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ABETIFI BRANCH"
"340202","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -KOFORIDUA BRANCH"
"340203","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -MAMFE BRANCH"
"340204","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -NEW ABIREM BRANCH"
"340301","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -UNIVERSITY OF CAPE COAST BRANCH"
"340302","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -DUNKWAW-ON OFFIN BRANCH"
"340303","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -SWEDRU BRANCH"
"340304","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -WINNEBA BRANCH"
"340401","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ASAWINSO BRANCH"
"340402","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -AXIM ROAD BRANCH"
"340403","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -MARKET CIRCLE BRANCH"
"340404","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -TARKWA BRANCH"
"340501","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -HO BRANCH"
"340601","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ADUM BRANCH"
"340602","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -AFFUL NKWANTA BRANCH"
"340603","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -AHODWO BRANCH"
"340604","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ALABAR BRANCH"
"340605","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ASAFO BRANCH"
"340606","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -MAAKRO BRANCH"
"340607","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ASOKWA BRANCH"
"340608","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ATONSU BRANCH"
"340609","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -BANTAMA BRANCH"
"340610","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -EJISU BRANCH"
"340611","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -HARPER ROAD BRANCH"
"340612","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA - KEJETIA BRANCH"
"340613","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -KNUST BRANCH"
"340614","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -NHYIAESO BRANCH"
"340615","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ROMAN HILL BRANCH"
"340616","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -SOKOBAN BRANCH"
"340617","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -ASHTOWN BRANCH"
"340618","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -SUAME BRANCH"
"340619","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -TAFO BRANCH"
"340620","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA - ROMAN HILL MARKET BRANCH"
"340621","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -KRONUM BRANCH"
"340622","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA - ABUAKWA BRANCH"
"340701","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA - SUNYANI MAIN BRANCH"
"340702","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -SUNYANI POST OFFICE BRANCH"
"340703","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -TECHIMAN MARKET BRANCH"
"340704","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA - TECHIMAN WENCHI ROAD BRANCH"
"340705","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -TECHIMAN VALLEY VIEW BRANCH"
"340801","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA - TAMALE MAIN BRANCH"
"340802","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -TAMALE ABOABO BRANCH"
"340803","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA - TAMALE HOSPITAL ROAD BRANCH"
"340804","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -BOLE BRANCH"
"340901","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA - BAWKU BRANCH"
"340902","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -BOLGA POLICE STATION ROAD BRANCH"
"340903","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -BOLGA COMMERCIAL ROAD BRANCH"
"341001","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -WA BRANCH"
"360101","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - HEAD OFFICE BRANCH"
"360102","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - ABOSSEY OKAI BRANCH"
"360103","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - ASHAIMAN BRANCH"
"360104","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - DZORWULU BRANCH"
"360105","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - DOME BRANCH"
"360106","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - NMAI DJORN BRANCH"
"360107","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - TEMA COMM 1 BRANCH"
"360108","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD- KOKOMLEMLE BRANCH"
"360109","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - MADINA BRANCH"
"360110","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - TUDU BRANCH"
"360111","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - SPINTEX BRANCH"
"360112","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - OSU BRANCH"
"360113","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - WEIJA BRANCH"
"360114","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD- EAST LEGON BRANCH"
"360115","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - TEMA COMM 2 BRANCH"
"360201","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - KOFORIDUA BRANCH"
"360301","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - KASOA BRANCH"
"360401","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD -  TAKORADI BRANCH"
"360402","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - TARKWA BRANCH"
"360601","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD- MANHYIA BRANCH"
"360602","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - KUMASI CENTRAL MARKET BRANCH"
"360603","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - KEJETIA BRANCH"
"360604","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - ANLOGA BRANCH"
"360605","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - KRONUM BRANCH"
"360606","OMNI BANK GHANA LTD","OMNI BANK GHANA LTD - ADUM BRANCH"
"390100","GHL BANK","GHL HEAD OFFICE"
"390100","GHL BANK","GHL BANK Ltd"
"390101","GHL BANK","GHL BANK- AIRPORT CITY BRANCH"
"390401","GHL BANK","GHL BANK- TAKORADI BRANCH"
"390601","GHL BANK","GHL BANK-KUMASI BRANCH"
